indice_tiempo,vacas,vaquillonas,novillos,novillitos,terneros,terneras,toros,toritos,bueyes
2008,23712136,8203242,4804549,5312143,7139558,7144966,1255957,,10571
2009,22485247,7875606,4663078,5064204,6505799,6629150,1196362,,10465
2010,20540972,7209738,4138245,4470793,5678652,5802958,1096852,,11533
2011,20060138,7303025,3649056,4114646,5795376,6008279,1029460,,12681
2012,21101050,7583466,3423570,3933277,6238387,6496993,1074252,,14866
2013,21924857,7444723,3213426,3880271,6538273,6831439,1114812,36700,11896
2014,22264909,7462688,2944415,4038433,6720528,6996985,1073206,133006,12374
2015,22381768,7424662,2983523,4050333,6513359,6845001,1056167,162654,12381
2016,22945852,7545259,2823732,3952320,6876606,7230931,1065162,184947,11969
2017,23362043,7765860,2783610,4024388,6894611,7233231,1074125,11101,204818
2018,23761521,7550894,2691780,3980113,7149035,7468772,1078377,238471,10156
2019,23633533,7419809,2606212,4179902,7236384,7546418,1056636,257110,9804
