indice_tiempo,chivos,cabras,cabritos,capones,cabrillas_chivitos
2008,1769442,1409227,420840,,
2009,1975474,1224779,368807,2880,5801
2010,1586451,1728045,299397,23540,118542
2011,1327419,1872509,410057,31612,136310
2012,1363184,1962212,443476,39732,208176
2013,827955,2197583,568478,59902,261964
2014,789578,2413889,600219,73207,304615
2015,755973,2311187,651781,85041,397275
2016,688462,2566726,630501,96938,444669
2017,576841,2519289,659999,82849,460823
2018,509209,2544964,703827,101971,442523
2019,473890,2438499,673544,113458,380083
