anio;provincia;provincia_id;partido_departamento;partido_departamento_id;chivos;cabras;cabritos;capones;cabrillas_chivitos;total_caprinos
2008;Buenos Aires;06;Adolfo Alsina;007;59;173;14;;;246
2009;Buenos Aires;06;Adolfo Alsina;007;41;145;6;;;192
2010;Buenos Aires;06;Adolfo Alsina;007;47;24;;;;71
2011;Buenos Aires;06;Adolfo Alsina;007;52;159;33;;;244
2012;Buenos Aires;06;Adolfo Alsina;007;54;218;80;;;352
2013;Buenos Aires;06;Adolfo Alsina;007;60;224;50;;;334
2014;Buenos Aires;06;Adolfo Alsina;007;48;269;50;;;367
2015;Buenos Aires;06;Adolfo Alsina;007;48;250;52;;;350
2016;Buenos Aires;06;Adolfo Alsina;007;42;221;72;;;335
2017;Buenos Aires;06;Adolfo Alsina;007;74;281;72;;8;435
2018;Buenos Aires;06;Adolfo Alsina;007;70;277;57;;12;416
2019;Buenos Aires;06;Adolfo Alsina;007;75;251;57;;12;395
2008;Buenos Aires;06;Alberti;021;8;51;;;;59
2009;Buenos Aires;06;Alberti;021;8;28;8;;;44
2010;Buenos Aires;06;Alberti;021;3;38;;;;41
2011;Buenos Aires;06;Alberti;021;4;35;2;;;41
2012;Buenos Aires;06;Alberti;021;7;39;2;;;48
2013;Buenos Aires;06;Alberti;021;6;37;2;;;45
2014;Buenos Aires;06;Alberti;021;7;39;2;;;48
2015;Buenos Aires;06;Alberti;021;8;52;5;;3;68
2016;Buenos Aires;06;Alberti;021;18;60;5;;3;86
2017;Buenos Aires;06;Alberti;021;20;64;5;;3;92
2018;Buenos Aires;06;Alberti;021;20;49;2;;3;74
2019;Buenos Aires;06;Alberti;021;22;50;2;;3;77
2008;Buenos Aires;06;Almirante Brown;028;;1;;;;1
2009;Buenos Aires;06;Almirante Brown;028;2;3;;;;5
2010;Buenos Aires;06;Almirante Brown;028;6;4;;;;10
2011;Buenos Aires;06;Almirante Brown;028;2;4;;;;6
2012;Buenos Aires;06;Almirante Brown;028;9;5;;;;14
2013;Buenos Aires;06;Almirante Brown;028;7;22;;;;29
2014;Buenos Aires;06;Almirante Brown;028;4;34;;;;38
2015;Buenos Aires;06;Almirante Brown;028;6;54;;;;60
2016;Buenos Aires;06;Almirante Brown;028;5;39;;;;44
2017;Buenos Aires;06;Almirante Brown;028;6;40;;;;46
2018;Buenos Aires;06;Almirante Brown;028;7;49;;;;56
2019;Buenos Aires;06;Almirante Brown;028;7;37;;;;44
2008;Buenos Aires;06;Florentino Ameghino;277;12;14;;;;26
2009;Buenos Aires;06;Florentino Ameghino;277;12;14;;;;26
2010;Buenos Aires;06;Florentino Ameghino;277;38;42;;6;;86
2011;Buenos Aires;06;Florentino Ameghino;277;36;28;;;;64
2012;Buenos Aires;06;Florentino Ameghino;277;38;30;;;;68
2013;Buenos Aires;06;Florentino Ameghino;277;40;56;;;;96
2014;Buenos Aires;06;Florentino Ameghino;277;42;88;;;;130
2015;Buenos Aires;06;Florentino Ameghino;277;43;101;;;;144
2016;Buenos Aires;06;Florentino Ameghino;277;43;101;;;;144
2017;Buenos Aires;06;Florentino Ameghino;277;18;77;;;;95
2018;Buenos Aires;06;Florentino Ameghino;277;21;106;;;;127
2019;Buenos Aires;06;Florentino Ameghino;277;23;114;;;;137
2008;Buenos Aires;06;Arrecifes;077;195;96;25;;;316
2009;Buenos Aires;06;Arrecifes;077;59;28;2;;;89
2010;Buenos Aires;06;Arrecifes;077;17;21;5;;;43
2011;Buenos Aires;06;Arrecifes;077;3;146;3;;;152
2012;Buenos Aires;06;Arrecifes;077;4;239;9;;;252
2013;Buenos Aires;06;Arrecifes;077;26;158;9;;70;263
2014;Buenos Aires;06;Arrecifes;077;29;149;9;;71;258
2015;Buenos Aires;06;Arrecifes;077;23;97;9;;71;200
2016;Buenos Aires;06;Arrecifes;077;22;95;9;;71;197
2017;Buenos Aires;06;Arrecifes;077;20;73;89;;71;253
2018;Buenos Aires;06;Arrecifes;077;10;73;88;;74;245
2019;Buenos Aires;06;Arrecifes;077;20;77;41;;74;212
2008;Buenos Aires;06;Ayacucho;042;82;18;31;;;131
2009;Buenos Aires;06;Ayacucho;042;73;31;26;;;130
2010;Buenos Aires;06;Ayacucho;042;126;46;10;;;182
2011;Buenos Aires;06;Ayacucho;042;41;41;3;;;85
2012;Buenos Aires;06;Ayacucho;042;27;49;2;;;78
2013;Buenos Aires;06;Ayacucho;042;40;98;3;8;;149
2014;Buenos Aires;06;Ayacucho;042;45;76;131;16;;268
2015;Buenos Aires;06;Ayacucho;042;51;85;154;16;;306
2016;Buenos Aires;06;Ayacucho;042;51;88;134;16;;289
2017;Buenos Aires;06;Ayacucho;042;51;87;154;22;40;354
2018;Buenos Aires;06;Ayacucho;042;51;87;154;26;40;358
2019;Buenos Aires;06;Ayacucho;042;56;102;154;56;40;408
2012;Buenos Aires;06;Azul;049;1;4;;;;5
2013;Buenos Aires;06;Azul;049;1;4;;;;5
2014;Buenos Aires;06;Azul;049;1;4;;;;5
2015;Buenos Aires;06;Azul;049;1;4;;;;5
2016;Buenos Aires;06;Azul;049;1;4;;;;5
2017;Buenos Aires;06;Azul;049;1;4;;;;5
2018;Buenos Aires;06;Azul;049;1;4;;;;5
2019;Buenos Aires;06;Azul;049;1;4;;;;5
2008;Buenos Aires;06;Bahia Blanca;056;309;79;;;;388
2009;Buenos Aires;06;Bahia Blanca;056;74;79;;;;153
2010;Buenos Aires;06;Bahia Blanca;056;74;79;;;;153
2011;Buenos Aires;06;Bahia Blanca;056;96;97;1;;6;200
2012;Buenos Aires;06;Bahia Blanca;056;96;97;1;;6;200
2013;Buenos Aires;06;Bahia Blanca;056;77;156;51;;6;290
2014;Buenos Aires;06;Bahia Blanca;056;15;116;67;;6;204
2015;Buenos Aires;06;Bahia Blanca;056;16;142;67;;6;231
2016;Buenos Aires;06;Bahia Blanca;056;17;161;67;;6;251
