indice_tiempo,padrillos,caballos,yeguas,potrillos_potrillas,mulas,burros_asnos
2008,41145,979572,726370,137724,30483,129408
2009,78586,951535,746544,147921,33017,34923
2010,51062,920668,767519,150509,30161,29086
2011,61770,914389,783606,168513,31771,33899
2012,59556,954960,851877,197538,33517,39662
2013,62410,988140,919316,240297,38404,46025
2014,68348,1002322,955626,258490,40677,51127
2015,72375,1103142,988373,283417,42914,55019
2016,78395,1057444,1002115,309628,44426,56918
2017,83363,1041698,1030453,339462,45252,59654
2018,86016,1030366,1035358,353531,45648,60321
2019,90701,1036228,1051698,365281,46593,61541
