anio,provincia,provincia_id,departamento,departamento_id,padrillos,caballos,yeguas,potrillos_potrillas,mulas,burros_asnos
2008,Buenos Aires,06,Adolfo Alsina,06007,153,1838,1453,218,,14
2009,Buenos Aires,06,Adolfo Alsina,06007,127,1608,1457,190,,
2010,Buenos Aires,06,Adolfo Alsina,06007,141,1699,1704,240,,
2011,Buenos Aires,06,Adolfo Alsina,06007,144,1703,1708,341,,
2012,Buenos Aires,06,Adolfo Alsina,06007,127,1742,1812,434,60,
2013,Buenos Aires,06,Adolfo Alsina,06007,231,1670,1753,570,66,12
2014,Buenos Aires,06,Adolfo Alsina,06007,279,1831,1915,714,66,12
2015,Buenos Aires,06,Adolfo Alsina,06007,232,1888,1989,767,66,12
2016,Buenos Aires,06,Adolfo Alsina,06007,223,1823,1978,860,66,12
2017,Buenos Aires,06,Adolfo Alsina,06007,233,1753,1934,954,66,26
2018,Buenos Aires,06,Adolfo Alsina,06007,265,1750,2067,884,66,30
2019,Buenos Aires,06,Adolfo Alsina,06007,287,1338,1989,923,6,32
2008,Buenos Aires,06,Alberti,06021,19,583,528,97,,12
2009,Buenos Aires,06,Alberti,06021,25,612,527,154,,
2010,Buenos Aires,06,Alberti,06021,23,582,529,138,,
2011,Buenos Aires,06,Alberti,06021,32,716,606,147,,
2012,Buenos Aires,06,Alberti,06021,35,604,623,323,,12
2013,Buenos Aires,06,Alberti,06021,28,689,538,345,,16
2014,Buenos Aires,06,Alberti,06021,53,659,675,386,,14
2015,Buenos Aires,06,Alberti,06021,46,654,634,320,,15
2016,Buenos Aires,06,Alberti,06021,43,663,629,348,,12
2017,Buenos Aires,06,Alberti,06021,48,662,639,398,,24
2018,Buenos Aires,06,Alberti,06021,60,648,620,337,9,28
2019,Buenos Aires,06,Alberti,06021,64,686,662,366,9,28
2008,Buenos Aires,06,Almirante Brown,06028,6,217,43,15,,
2009,Buenos Aires,06,Almirante Brown,06028,10,272,53,20,,
2010,Buenos Aires,06,Almirante Brown,06028,7,198,51,9,,
2011,Buenos Aires,06,Almirante Brown,06028,7,205,59,20,,
2012,Buenos Aires,06,Almirante Brown,06028,7,208,61,21,,
2013,Buenos Aires,06,Almirante Brown,06028,24,265,106,49,,
2014,Buenos Aires,06,Almirante Brown,06028,38,324,103,41,,
