indice_tiempo,carneros_cbz,ovejas_cbz,borregos_cbz,capones_cbz,corderos_corderas_cbz
2008,603403,8898738,2231588,1608096,2646298
2009,586930,8609142,2052680,1566723,2463026
2010,564332,8580056,1965516,1487688,2427154
2011,576162,8436154,1938866,1417208,2363756
2012,571740,8397582,1900922,1372168,2454491
2013,585831,8325029,1887544,1312906,2463579
2014,581433,8214688,1883954,1290437,2563186
2015,606227,8499019,1926727,1267144,2560369
2016,573235,8420305,1988929,1296240,2585612
2017,567391,8371694,1986130,1260896,2560455
2018,551077,8153999,1885998,1217169,2531665
2019,560417,8302740,2039408,1296183,2575448
