anio,provincia,provincia_id,departamento,departamento_id,carneros_cbz,ovejas_cbz,borregos_cbz,capones_cbz,corderos_corderas_cbz,,,
2008,Buenos Aires,06,Adolfo Alsina,06007,696,13238,868,195,1460,,,
2009,Buenos Aires,06,Adolfo Alsina,06007,721,11593,981,175,1615,,,
2010,Buenos Aires,06,Adolfo Alsina,06007,619,11016,860,236,1045,,,
2011,Buenos Aires,06,Adolfo Alsina,06007,670,10633,849,282,1671,,,
2012,Buenos Aires,06,Adolfo Alsina,06007,871,11617,1182,296,2019,,,
2013,Buenos Aires,06,Adolfo Alsina,06007,836,11951,1752,371,2858,,,
2014,Buenos Aires,06,Adolfo Alsina,06007,856,12504,1537,351,2941,,,
2015,Buenos Aires,06,Adolfo Alsina,06007,814,12268,1635,351,3026,,,
2016,Buenos Aires,06,Adolfo Alsina,06007,759,11743,1746,306,3512,,,
2017,Buenos Aires,06,Adolfo Alsina,06007,739,11733,1782,306,3504,,,
2018,Buenos Aires,06,Adolfo Alsina,06007,778,11907,1832,311,3548,,,
2019,Buenos Aires,06,Adolfo Alsina,06007,655,10845,1660,306,3166,,,
2008,Buenos Aires,06,Alberti,06021,126,936,,3,69,,,
2009,Buenos Aires,06,Alberti,06021,113,1140,,9,21,,,
2010,Buenos Aires,06,Alberti,06021,118,1050,4,,124,,,
2011,Buenos Aires,06,Alberti,06021,118,1118,5,51,451,,,
2012,Buenos Aires,06,Alberti,06021,115,1212,1,51,412,,,
2013,Buenos Aires,06,Alberti,06021,127,1316,1,42,498,,,
2014,Buenos Aires,06,Alberti,06021,137,1223,1,51,514,,,
2015,Buenos Aires,06,Alberti,06021,135,1128,1,51,540,,,
2016,Buenos Aires,06,Alberti,06021,124,1189,1,51,513,,,
2017,Buenos Aires,06,Alberti,06021,132,1406,1,51,547,,,
2018,Buenos Aires,06,Alberti,06021,140,1473,1,51,621,,,
2019,Buenos Aires,06,Alberti,06021,139,1393,1,51,666,,,
2008,Buenos Aires,06,Almirante Brown,06028,14,325,,,,,,
2009,Buenos Aires,06,Almirante Brown,06028,14,275,,,,,,
2010,Buenos Aires,06,Almirante Brown,06028,17,272,,,,,,
2011,Buenos Aires,06,Almirante Brown,06028,13,172,,,,,,
2012,Buenos Aires,06,Almirante Brown,06028,9,188,,,,,,
2013,Buenos Aires,06,Almirante Brown,06028,9,141,4,,,,,
2014,Buenos Aires,06,Almirante Brown,06028,7,149,4,,,,,
2015,Buenos Aires,06,Almirante Brown,06028,9,135,4,,,,,
2016,Buenos Aires,06,Almirante Brown,06028,8,145,4,,130,,,
2017,Buenos Aires,06,Almirante Brown,06028,7,136,4,,130,,,
2018,Buenos Aires,06,Almirante Brown,06028,9,227,23,,130,,,
2019,Buenos Aires,06,Almirante Brown,06028,9,224,28,,136,,,
2008,Buenos Aires,06,Florentino Ameghino,06277,110,1221,94,33,100,,,
2009,Buenos Aires,06,Florentino Ameghino,06277,90,1058,118,33,72,,,
2010,Buenos Aires,06,Florentino Ameghino,06277,155,1433,82,15,41,,,
2011,Buenos Aires,06,Florentino Ameghino,06277,152,1393,58,15,77,,,
2012,Buenos Aires,06,Florentino Ameghino,06277,157,1685,58,15,87,,,
2013,Buenos Aires,06,Florentino Ameghino,06277,178,1960,52,15,91,,,
2014,Buenos Aires,06,Florentino Ameghino,06277,180,2042,52,15,91,,,
2015,Buenos Aires,06,Florentino Ameghino,06277,189,2065,77,15,93,,,
2016,Buenos Aires,06,Florentino Ameghino,06277,189,2188,76,15,93,,,
2017,Buenos Aires,06,Florentino Ameghino,06277,210,2279,79,15,93,,,
2018,Buenos Aires,06,Florentino Ameghino,06277,246,2258,79,15,95,,,
2019,Buenos Aires,06,Florentino Ameghino,06277,174,2154,79,15,96,,,
2008,Buenos Aires,06,Arrecifes,06077,114,1312,135,12,446,,,
2009,Buenos Aires,06,Arrecifes,06077,129,1425,154,50,336,,,
2010,Buenos Aires,06,Arrecifes,06077,135,1466,107,9,357,,,
2011,Buenos Aires,06,Arrecifes,06077,91,948,68,,323,,,
2012,Buenos Aires,06,Arrecifes,06077,118,1310,171,,469,,,
2013,Buenos Aires,06,Arrecifes,06077,160,1932,300,159,647,,,
2014,Buenos Aires,06,Arrecifes,06077,154,2019,261,168,861,,,
2015,Buenos Aires,06,Arrecifes,06077,166,2102,296,170,877,,,
2016,Buenos Aires,06,Arrecifes,06077,161,2124,335,176,791,,,
2017,Buenos Aires,06,Arrecifes,06077,165,2360,366,165,945,,,
2018,Buenos Aires,06,Arrecifes,06077,213,2707,614,185,983,,,
2019,Buenos Aires,06,Arrecifes,06077,218,2948,464,184,1273,,,
2008,Buenos Aires,06,Ayacucho,06042,9615,58613,10743,9582,17351,,,
2009,Buenos Aires,06,Ayacucho,06042,11308,54174,6853,6913,14349,,,
2010,Buenos Aires,06,Ayacucho,06042,9848,53739,4656,3113,12971,,,
2011,Buenos Aires,06,Ayacucho,06042,10173,48641,4115,1893,10655,,,
2012,Buenos Aires,06,Ayacucho,06042,9641,53431,4495,8313,16803,,,
2013,Buenos Aires,06,Ayacucho,06042,8545,56558,9327,7911,19805,,,
2014,Buenos Aires,06,Ayacucho,06042,7092,55183,9971,7297,19504,,,
2015,Buenos Aires,06,Ayacucho,06042,7525,57152,10076,6639,19406,,,
2016,Buenos Aires,06,Ayacucho,06042,6630,57880,10864,6839,20281,,,
2017,Buenos Aires,06,Ayacucho,06042,6672,59443,10233,6631,19350,,,
2018,Buenos Aires,06,Ayacucho,06042,6739,61672,9786,6264,19188,,,
2019,Buenos Aires,06,Ayacucho,06042,6716,63700,10873,6788,21399,,,
2008,Buenos Aires,06,Azul,06049,1759,51019,2310,1011,5309,,,
2009,Buenos Aires,06,Azul,06049,1574,50997,1810,1128,4856,,,
2010,Buenos Aires,06,Azul,06049,1535,44666,775,723,4796,,,
2011,Buenos Aires,06,Azul,06049,1589,43508,1148,903,5785,,,
2012,Buenos Aires,06,Azul,06049,1756,44460,1733,887,7441,,,
2013,Buenos Aires,06,Azul,06049,1454,42554,2244,893,8216,,,
