indice_tiempo,padrillos,cerda,lechon,capones,cachorro,machos_enteros_inmunocastrados,cachorra
2008,107752,675268,982535,793640,485489,,
2009,116425,673480,1006937,736454,514258,,
2010,119035,667496,1014937,760417,539522,,
2011,117525,686446,1102306,760628,573598,10183,
2012,106976,734138,1229854,659723,686930,8335,
2013,144460,898428,1475640,791967,877680,33808,
2014,146658,926515,1610764,833124,844633,53813,164405
2015,144408,946295,1716366,803320,854266,54382,207208
2016,145386,949825,1728568,868066,861919,94034,292984
2017,152522,962881,1728721,989223,908993,123467,253631
2018,148514,972165,1848938,1045521,917710,168272,263311
2019,144517,953190,1802735,995770,853494,133314,245934
