anio,provinicia,provinicia_id,departamento,departamento_id,padrillos,cerda,lechon,capones,cachorro,machos_enteros_inmunocastrados,cachorra,,,
2008,Buenos Aires,06,Adolfo Alsina,06007,302,1919,1390,1474,1174,,,,,
2009,Buenos Aires,06,Adolfo Alsina,06007,291,1624,1842,1047,1134,,,,,
2010,Buenos Aires,06,Adolfo Alsina,06007,269,1857,1827,1118,994,,,,,
2011,Buenos Aires,06,Adolfo Alsina,06007,289,2099,2414,1132,951,,,,,
2012,Buenos Aires,06,Adolfo Alsina,06007,383,2611,3603,1770,1637,54,,,,
2013,Buenos Aires,06,Adolfo Alsina,06007,365,2940,4769,1636,2803,3,,,,
2014,Buenos Aires,06,Adolfo Alsina,06007,384,3222,5649,1423,2718,3,64,,,
2015,Buenos Aires,06,Adolfo Alsina,06007,387,3034,5380,2037,1975,3,42,,,
2016,Buenos Aires,06,Adolfo Alsina,06007,379,2702,5261,3368,3725,3,57,,,
2017,Buenos Aires,06,Adolfo Alsina,06007,365,2800,5660,2814,3309,3,58,,,
2018,Buenos Aires,06,Adolfo Alsina,06007,356,2625,4979,2596,3391,3,150,,,
2019,Buenos Aires,06,Adolfo Alsina,06007,327,2494,3183,1978,1797,3,162,,,
2008,Buenos Aires,06,Alberti,06021,440,2343,3412,2793,2073,,,,,
2009,Buenos Aires,06,Alberti,06021,527,2640,4662,4087,1883,,,,,
2010,Buenos Aires,06,Alberti,06021,355,2242,3680,1936,1268,,,,,
2011,Buenos Aires,06,Alberti,06021,276,2574,4096,2397,1351,,,,,
2012,Buenos Aires,06,Alberti,06021,299,3981,6990,3220,6494,,,,,
2013,Buenos Aires,06,Alberti,06021,302,4146,7705,2555,4073,2644,,,,
2014,Buenos Aires,06,Alberti,06021,339,3814,7369,4422,6069,4398,408,,,
2015,Buenos Aires,06,Alberti,06021,345,3583,5996,4916,6799,3102,467,,,
2016,Buenos Aires,06,Alberti,06021,332,4288,7245,5611,8300,2761,680,,,
2017,Buenos Aires,06,Alberti,06021,349,4282,7321,6776,7430,2963,1184,,,
2018,Buenos Aires,06,Alberti,06021,347,5439,8319,12517,12281,7855,956,,,
2019,Buenos Aires,06,Alberti,06021,337,5390,7786,9922,14383,7391,1289,,,
2008,Buenos Aires,06,Almirante Brown,06028,12,202,35,,,,,,,
2009,Buenos Aires,06,Almirante Brown,06028,9,150,35,,,,,,,
2010,Buenos Aires,06,Almirante Brown,06028,12,182,,,,,,,,
2011,Buenos Aires,06,Almirante Brown,06028,12,147,,,,,,,,
2012,Buenos Aires,06,Almirante Brown,06028,12,146,,15,30,,,,,
2013,Buenos Aires,06,Almirante Brown,06028,15,183,,13,93,,,,,
2014,Buenos Aires,06,Almirante Brown,06028,15,167,290,152,36,,37,,,
2015,Buenos Aires,06,Almirante Brown,06028,15,146,70,75,36,,38,,,
2016,Buenos Aires,06,Almirante Brown,06028,15,112,700,75,36,,38,,,
2017,Buenos Aires,06,Almirante Brown,06028,14,124,490,75,36,,38,,,
2018,Buenos Aires,06,Almirante Brown,06028,17,163,594,75,37,,60,,,
2019,Buenos Aires,06,Almirante Brown,06028,16,165,595,75,37,,64,,,
2008,Buenos Aires,06,Florentino Ameghino,06277,37,371,125,685,137,,,,,
2009,Buenos Aires,06,Florentino Ameghino,06277,28,271,96,382,38,,,,,
2010,Buenos Aires,06,Florentino Ameghino,06277,53,283,234,313,110,,,,,
2011,Buenos Aires,06,Florentino Ameghino,06277,56,301,284,313,110,,,,,
2012,Buenos Aires,06,Florentino Ameghino,06277,91,450,440,389,214,,,,,
2013,Buenos Aires,06,Florentino Ameghino,06277,101,597,618,503,499,,,,,
2014,Buenos Aires,06,Florentino Ameghino,06277,113,680,837,505,279,,162,,,
2015,Buenos Aires,06,Florentino Ameghino,06277,116,700,861,474,270,,217,,,
2016,Buenos Aires,06,Florentino Ameghino,06277,127,699,1099,591,365,,382,,,
2017,Buenos Aires,06,Florentino Ameghino,06277,136,691,1099,537,318,,255,,,
2018,Buenos Aires,06,Florentino Ameghino,06277,141,662,741,637,217,,59,,,
2019,Buenos Aires,06,Florentino Ameghino,06277,148,640,685,582,466,,87,,,
2008,Buenos Aires,06,Arrecifes,06077,202,2425,5695,2763,2727,,,,,
2009,Buenos Aires,06,Arrecifes,06077,186,2450,6183,2487,3690,,,,,
2010,Buenos Aires,06,Arrecifes,06077,192,2445,4512,2070,2863,,,,,
2011,Buenos Aires,06,Arrecifes,06077,138,2268,3673,1829,3703,,,,,
2012,Buenos Aires,06,Arrecifes,06077,156,2678,5207,2324,3778,,,,,
2013,Buenos Aires,06,Arrecifes,06077,199,3194,6064,2603,4592,,,,,
2014,Buenos Aires,06,Arrecifes,06077,195,3322,6998,3760,3760,,488,,,
2015,Buenos Aires,06,Arrecifes,06077,199,3253,10139,2013,2540,,532,,,
2016,Buenos Aires,06,Arrecifes,06077,188,3191,9328,3526,2674,,411,,,
2017,Buenos Aires,06,Arrecifes,06077,182,2998,10746,4996,4737,,487,,,
2018,Buenos Aires,06,Arrecifes,06077,173,3015,12367,5811,7695,,569,,,
2019,Buenos Aires,06,Arrecifes,06077,160,3563,11394,6769,4760,,530,,,
2008,Buenos Aires,06,Ayacucho,06042,768,5565,8927,1557,270,,,,,
2009,Buenos Aires,06,Ayacucho,06042,764,5023,8848,854,215,,,,,
2010,Buenos Aires,06,Ayacucho,06042,838,6113,6536,664,475,,,,,
2011,Buenos Aires,06,Ayacucho,06042,935,4473,7407,613,779,,,,,
2012,Buenos Aires,06,Ayacucho,06042,884,3718,7460,870,795,1,,,,
2013,Buenos Aires,06,Ayacucho,06042,926,4231,9078,1152,1377,2,,,,
2014,Buenos Aires,06,Ayacucho,06042,904,5028,7589,1567,1508,2,395,,,
2015,Buenos Aires,06,Ayacucho,06042,973,4176,7854,1636,1312,2,363,,,
2016,Buenos Aires,06,Ayacucho,06042,1032,4178,8273,3241,1483,14,546,,,
2017,Buenos Aires,06,Ayacucho,06042,1009,4421,9206,2099,1427,13,659,,,
2018,Buenos Aires,06,Ayacucho,06042,998,3964,7548,3203,1206,13,546,,,
2019,Buenos Aires,06,Ayacucho,06042,702,4156,11159,1939,364,16,634,,,
2008,Buenos Aires,06,Azul,06049,163,2190,1472,1016,386,,,,,
2009,Buenos Aires,06,Azul,06049,141,2334,2656,1119,1190,,,,,
2010,Buenos Aires,06,Azul,06049,121,1966,3273,1662,1164,,,,,
2011,Buenos Aires,06,Azul,06049,114,2299,1128,1792,1014,,,,,
2012,Buenos Aires,06,Azul,06049,122,2728,5545,3085,1957,,,,,
2013,Buenos Aires,06,Azul,06049,137,3746,5090,2232,1696,,,,,
2014,Buenos Aires,06,Azul,06049,147,3445,5089,2294,1139,,211,,,
2015,Buenos Aires,06,Azul,06049,146,2974,3400,2021,1151,,459,,,
2016,Buenos Aires,06,Azul,06049,151,2503,2045,2376,1235,,620,,,
2017,Buenos Aires,06,Azul,06049,158,3088,3392,1865,2660,,1725,,,
2018,Buenos Aires,06,Azul,06049,160,3077,4138,2294,1041,,1233,,,
2019,Buenos Aires,06,Azul,06049,162,3051,4408,3200,959,,1009,,,
2008,Buenos Aires,06,Bahía Blanca,06056,124,991,1348,651,400,,,,,
2009,Buenos Aires,06,Bahía Blanca,06056,134,966,846,463,257,,,,,
2010,Buenos Aires,06,Bahía Blanca,06056,82,968,754,206,562,,,,,
2011,Buenos Aires,06,Bahía Blanca,06056,110,1179,1075,248,1150,,,,,
2012,Buenos Aires,06,Bahía Blanca,06056,147,993,1121,126,514,,,,,
2013,Buenos Aires,06,Bahía Blanca,06056,181,1928,1431,602,942,,,,,
2014,Buenos Aires,06,Bahía Blanca,06056,171,1929,1236,682,573,,322,,,
2015,Buenos Aires,06,Bahía Blanca,06056,192,1481,1135,626,338,,348,,,
2016,Buenos Aires,06,Bahía Blanca,06056,176,1208,986,451,356,,338,,,
2017,Buenos Aires,06,Bahía Blanca,06056,197,1404,1412,688,399,,238,,,
2018,Buenos Aires,06,Bahía Blanca,06056,202,1441,1143,521,423,,245,,,
2019,Buenos Aires,06,Bahía Blanca,06056,185,1328,1081,641,529,,276,,,
2008,Buenos Aires,06,Balcarce,06063,185,880,922,152,10,,,,,
2009,Buenos Aires,06,Balcarce,06063,239,889,571,392,43,,,,,
2010,Buenos Aires,06,Balcarce,06063,254,836,1067,538,607,,,,,
2011,Buenos Aires,06,Balcarce,06063,256,858,985,311,375,,,,,
2012,Buenos Aires,06,Balcarce,06063,264,921,612,612,75,,,,,
2013,Buenos Aires,06,Balcarce,06063,201,1642,1010,850,123,,,,,
2014,Buenos Aires,06,Balcarce,06063,197,1647,867,1105,128,,31,,,
2015,Buenos Aires,06,Balcarce,06063,201,1118,785,870,95,,69,,,
2016,Buenos Aires,06,Balcarce,06063,206,1401,2247,1682,1367,,106,,,
2017,Buenos Aires,06,Balcarce,06063,204,1402,1995,2934,108,,177,,,
2018,Buenos Aires,06,Balcarce,06063,205,1375,1821,4474,104,,187,,,
2019,Buenos Aires,06,Balcarce,06063,204,1382,944,3717,96,1,112,,,
2008,Buenos Aires,06,Baradero,06070,149,1931,532,3282,652,,,,,
2009,Buenos Aires,06,Baradero,06070,186,2085,590,3343,872,,,,,
2010,Buenos Aires,06,Baradero,06070,184,1815,959,1276,666,,,,,
2011,Buenos Aires,06,Baradero,06070,237,2623,1074,3609,923,622,,,,
2012,Buenos Aires,06,Baradero,06070,363,2263,1219,1771,1036,22,,,,
2013,Buenos Aires,06,Baradero,06070,359,2083,1687,1384,1049,25,,,,
2014,Buenos Aires,06,Baradero,06070,337,1975,1054,648,342,25,23,,,
2015,Buenos Aires,06,Baradero,06070,334,2130,1393,789,371,25,119,,,
2016,Buenos Aires,06,Baradero,06070,376,2045,1142,536,357,25,205,,,
